,Penman,FAO-56,Priestley-Taylor,Kimberly-Penman,Thom-Oliver,Blaney-Criddle,Hamon,Romanenko,Linacre,Haude,Turc,Jensen-Haise,Mcguinness-Bordne,Hargreaves,FAO-24,Abtew,Makkink,Oudin
2016-06-02,4.961250806720398,5.2683784810054215,5.330241567143955,4.56103428194266,5.114030828654485,5.107763742647234,5.1447191627681,6.543968459999999,5.3776843255590965,5.707371592209832,5.098767607478739,6.231359863531457,6.012981698883522,5.015950349719654,5.21665200807196,5.768769829994188,4.833217436535143,4.09046374073709
2016-06-03,5.410609227602607,5.935661524208754,5.708280086694624,4.943998830812118,5.70232544958469,5.495362141901673,5.887835812827812,7.945773,6.4881552893045,7.577215472590494,5.511329213042161,7.085375274901616,6.552316307533575,5.968799118170384,5.826675511247688,6.00839823311657,5.210047291756395,4.457358032335766
2016-06-04,4.948175491546781,5.211989738408494,5.201297398467183,4.546129705171845,4.7720534591638,4.286530783214153,3.8557414654006203,4.973574930000002,3.4829414148046722,4.8578816156096005,4.8610248989368765,5.344709525698371,4.858870044930342,4.68910327115542,5.205343600845787,6.260101764906379,4.784224978748504,3.3053537720614576
2016-06-05,3.903430995478672,3.9652828363819967,4.180177050679718,3.605829436086755,3.6808590068143907,3.854242390431696,3.316105494819778,4.0716288,2.924459258088388,3.132382713425055,3.759481075231304,3.8559258034208903,4.2552595994108335,3.7617451179933643,3.955933282847144,5.240104296956595,3.7861411903192685,2.894734421367914
2016-06-06,4.729744258683907,5.044580164601087,4.910528789344328,4.301901102829948,4.674784938327591,3.98974480901769,3.4769920276859794,5.879295120000001,3.273632387801257,4.9671771573221974,5.076749365470322,4.966257388295516,4.438058095726989,4.431210078279916,5.462444655909441,6.4591813884579725,4.743785191765679,3.019087139950333
2016-06-07,5.038968507245541,5.468628687262613,5.210302412208526,4.638449663520949,4.852618448644376,4.910623638436611,4.787885575863603,6.012323520000002,5.089949215433476,5.513881798851072,4.932709291313054,5.823131372383703,5.715360806971373,5.533588473614007,5.257733745644047,5.7687095838567535,4.706107711455773,3.8880005489601173
2016-06-08,3.492082213673185,4.042772076679937,3.329466604864748,3.1235083909664905,3.4059603535575116,4.045448611195995,3.5457554210293516,4.482324,3.127200568005972,4.1086690726952355,2.92212546616421,2.97001022426352,4.506593294384731,4.495475640999387,3.000095902589688,3.816013136629492,2.815429277929796,3.065709724071246
2016-06-09,4.44589962244738,4.548585671461051,4.697458353575759,4.095247727060944,4.146742790440252,3.7498744750698307,3.201280746849016,4.720880639999999,2.768491553826163,3.6512230564222827,4.286560436902686,4.378525374339878,4.093494928537528,3.8268030149890184,4.962518157444649,6.271941752432799,4.445215315609567,2.78469042757655
2016-06-10,2.79512933324473,2.959931122114578,2.792536845965183,2.542507391740182,2.521022417288404,3.4167939538438885,2.8538948003691007,3.0401529599999995,2.0689287113186627,2.244361144305502,2.2287556014303616,2.077866333422949,3.630138519109358,3.114489172750651,2.28237483463469,3.4147880828346135,2.3058106853668514,2.469481985788679
2016-06-11,3.2118775362854417,3.131581251760502,3.4328801865852796,2.9900916238814994,2.7920179481052356,3.477307062944612,2.9152311477169843,2.8361625600000004,2.354545328402839,2.13883546986615,2.8255937463123812,2.7169938865149263,3.709957372607427,3.562503942720218,2.9333354453811653,4.363656848039124,2.9699038993808555,2.523780525583284
2016-06-12,3.9572094929227983,4.100947399439059,4.1936337152185015,3.6182227393157977,3.895458257794657,3.771090886199892,3.2269627272579298,4.65993984,2.9091066564654593,3.8614571345809483,3.7523243428382087,3.79378736393513,4.112320358049867,4.301907980003472,4.163847160638587,5.434344061853023,3.8515710775966427,2.7974968422107933
2016-06-13,4.9023880857872815,5.419715027583035,5.016716809203034,4.43776104119878,5.029895111942115,4.586928939467391,4.27446394543065,7.1127273,4.21091904014353,5.947946430791954,5.474039678838491,5.550111660201802,5.242539276444813,4.789087700199282,5.563212748264932,6.0964957096517205,4.776417924517523,3.5663532492821854
